# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
Rv0	trung		
vuj	vụ		
jas	giá		
vdZ	viên		
TNj	thực		
lH1	lý		
fqs	phát		
nrz	nên		
H7j	nhận		
hWf	hành		
H9s	nhất		
Cur	chủ		
h2J	hợp		
r9s	rất		
mmF	mình		
dKz	đang		
qaz	qua		
xez	xe		
v1z	văn		
RW1	trước		
DoZ	do		
cpz	cao		
mxS	mới		
RmF	trình		
cv2	cùng		
maf	mà		
dGj	đại		
vif	vì		
bkj	bạn		
TEs	thế		
Tij	thị		
skr	sản		
zYz	em		
dBz	đây		
tEs	tế		
dsf	đường		
car	cả		
dqS	đối		
byj	bệnh		
hGz	hai		
zks	án		
nlS	nói		
Tiz	thi		
tGS	tiếp		
CNs	chức		
tU0	tư		
hmF	hình		
WGJ	nghiệp		
nqJ	nội		
tmF	tình		
haf	hà		
Nl4	nguyễn		
tdF	tiền		
DU5	dự		
lsj	lượng		
lrz	lên		
tKZ	tin		
dlr	điểm		
bmF	bình		
cHs	cấp		
bps	báo		
kmZ	kinh		
dEf	đề		
tSs	tác		
Dv5	dụng		
bpr	bảo		
xax	xã		
tDz	tâm		
xd1	xuất		
tmR	tỉnh		
c0Z	cô		
nTz	nay		
TWz	thanh		
baf	bà		
tGf	tài		
kcs	kết		
tm3	tuổi		
cgs	cách		
v7x	vẫn		
Tuz	thu		
KSs	khác		
dmF	đình		
c5f	cầu		
t2z	tăng		
tsF	toàn		
n2z	năng		
fsz	phương		
fzF	phòng		
Cv1	chúng		
TBs	thấy		
Raz	tra		
TKs	tháng		
D9Z	doanh		
jGr	giải		
c7f	cần		
Kgs	khách		
Tsz	thương		
tU5	tự		
bkr	bản		
Tsf	thường		
Cij	chị		
Cz0	chưa		
zWr	ảnh		
NrF	ngoài		
txS	tới		
sdr	sở		
qH0	quy		
jpz	giao		
l1S	lớn		
DdX	diễn		
t0R	tổ		
zH1	ý		
z30	yêu		
ldZ	liên		
lNj	lực		
ffs	pháp		
z1z	ăn		
jkz	gian		
tHj	tập		
Kuz	khu		
bkz	ban		
cD5	cuộc		
stS	sống		
q21	quyết		
fjj	phạm		
six	sĩ		
hCS	hoá		
m4j	mặt		
RdR	triển		
RhJ	triệu		
npf	nào		
f7f	phần		
Rer	trẻ		
hTz	hay		
l7f	lần		
b2f	bằng		
C9s	chất		
mmZ	minh		
d0J	độ		
nUs	nếu		
Rsr	trưởng		
r2f	rằng		
jxS	giới		
tpj	tạo		
qar	quả		
HdZ	nhiên		
RzJ	trọng		
vij	vị		
qas	quá		
mej	mẹ		
bks	bán		
Tur	thủ		
Rij	trị		
dvj	địa		
dz0	đưa		
K8R	khoảng		
hoJ	họ		
dpj	đạo		
tg5	tục		
ttR	tổng		
thZ	tiêu		
tH0	ty		
TNs	thức		
vdJ	viện		
Tjz	tham		
ddJ	điện		
tmS	tính		
sU3	sử		
mc0	mua		
g7f	gần		
cjr	cảm		
hl5	huyện		
hhJ	hiệu		
fDr	phẩm		
cWr	cảnh		
hEj	hệ		
brz	bên		
ld5	luật		
mTs	máy		
sKs	sáng		
kH2	kỳ		
Nl0	nguyên		
cR1	cứu		
vNj	vực		
jps	giáo		
jdf	giờ		
mH4	mỹ		
hBJ	hoạt		
b4s	bắt		
vBj	vậy		
kdS	kiến		
klr	kiểm		
dqR	đổi		
xBz	xây		
d9s	đất		
vz2	vừa		
sqs	sát		
KoS	khó		
WEj	nghệ		
tH3	tỷ		
Rdr	trở		
gBz	gây		
hsF	hoàn		
v7s	vấn		
tb0	tuy		
d1Z	đơn		
KGz	khai		
tRS	tốt		
mWj	mạnh		
jjr	giảm		
bjJ	biệt		
Hlj	nhiệm		
Dnj	dựng		
TtS	thống		
lg1	lúc		
b9s	bất		
RKz	trang		
viz	vi		
TU1	thứ		
rqF	rồi		
f0S	phố		
Wij	nghị		
tgS	tiếng		
dUf	đều		
dxj	đặc		
CtF	chồng		
cps	cáo		
h0F	hồ		
mNs	mức		
Cis	chí		
CEs	chế		
xU3	xử		
tsj	tượng		
mqX	mỗi		
Htz	nhau		
taz	ta		
jif	gì		
jn1	giúp		
nU4	nữ		
Cl3	chuyển		
TXz	thêm		
dWs	đánh		
lrJ	loại		
Ris	trí		
tdS	tiến		
KdS	khiến		
Ciz	chi		
tQf	tìm		
mC1	muốn		
fuj	phụ		
cas	cá		
T7z	thân		
Cl5	chuyện		
dsF	đoàn		
q12	quyền		
vdj	vợ		
qkr	quản		
dtZ	đông		
b0S	bố		
Cvz	chia		
hUJ	hoặc		
sgs	sách		
tCs	tích		
fQz	phim		
mKz	mang		
sNs	sức		
hCZ	hoa		
lxF	lời		
Dv2	dùng		
N7z	ngân		
Csz	chương		
jjs	giám		
HHj	nhập		
NWf	ngành		
tnf	từng		
nkj	nạn		
hcs	hết		
DdJ	diện		
Cl0	chuyên		
tTz	tay		
tCj	tịch		
NTz	ngay		
nxZ	nơi		
KCZ	khoa		
DCj	dịch		
lHj	lập		
jU4	giữ		
lxJ	lợi		
Cns	chứng		
hGr	hải		
h0J	hộ		
TjS	thiết		
hss	hướng		
foS	phó		
tdZ	tiên		
fg5	phục		
mlJ	mọi		
bpz	bao		
xPs	xét		
D7x	dẫn		
Rl2	truyền		
bhR	biểu		
fis	phí		
caz	ca		
bdR	biển		
TU0	thư		
bes	bé		
boR	bỏ		
lCj	lịch		
R7f	trần		
Cv0	chung		
xSs	xác		
v9j	vật		
roX	rõ		
jz4	giữa		
jar	giả		
bGf	bài		
spz	sao		
cGs	cái		
zH0	y		
Duz	du		
zns	ứng		
tU3	tử		
dMj	đẹp		
xYz	xem		
h8F	hoàng		
hCF	hoà		
Duf	dù		
Rar	trả		
ser	sẻ		
CcS	chiếc		
dur	đủ		
DGf	dài		
kdJ	kiện		
c0R	cổ		
vKf	vàng		
TTz	thay		
dqj	đạt		
TD5	thuộc		
kEs	kế		
gGs	gái		
Rdj	trợ		
lEz	lê		
baz	ba		
HoR	nhỏ		
kH1	ký		
CSJ	chọn		
CdS	chiến		
c5z	câu		
Td5	thuật		
s1Z	sơn		
m9s	mất		
hlR	hỏi		
g3j	gặp		
TGs	thái		
ChF	chiều		
bdS	biến		
lBs	lấy		
vEj	vệ		
bkf	bàn		
lC0	luôn		
trz	tên		
fur	phủ		
xTr	xảy		
DWz	danh		
q7j	quận		
dNs	đức		
dv1	đúng		
TCs	thích		
Dg5	dục		
djr	đảm		
bxR	bởi		
zBs	ấy		
tjS	tiết		
bSs	bác		
hkj	hạn		
h5j	hậu		
dxF	đời		
q7z	quân		
zGz	ai		
hsr	hưởng		
cBz	cây		
qKr	quảng		
RWz	tranh		
soZ	so		
sKz	sang		
dqJ	đội		
t0S	tố		
cz3	cửa		
vv2	vùng		
kEr	kể		
NC2	nguồn		
RKj	trạng		
vhs	vốn		
HQS	nhóm		
c1z	căn		
f7z	phân		
xr1	xuống		
cm1	cuối		
t9s	tất		
cU1	cứ		
bTz	bay		
Wlj	nghiệm		
Tis	thí		
Ch3	chuẩn		
c0S	cố		
ttf	tàu		
lpz	lao		
mdr	mở		
lhJ	liệu		
nz4	nữa		
tss	tướng		
tqS	tối		
zb3	uỷ		
lR0	lưu		
d2z	đăng		
zDS	ít		
HSj	nhạc		
m4s	mắt		
lWx	lãnh		
NnJ	ngọc		
dsJ	đoạn		
xKZ	xin		
dfS	đốc		
RNj	trực		
d4j	đặt		
Rgs	trách		
bxs	bắc		
tl3	tuyển		
v7j	vận		
Dsz	dương		
rgZ	riêng		
NrJ	ngoại		
lh5	luận		
mKj	mạng		
cuj	cụ		
sdz	sơ		
daz	đa		
fvs	phía		
dzS	đóng		
tsz	tương		
ntZ	nông		
z31	yếu		
nmZ	ninh		
tqJ	tội		
K1z	khăn		
xh0	xuân		
mg5	mục		
Wvx	nghĩa		
cWj	cạnh		
Cts	cháu		
l2S	lớp		
dpf	đào		
h6J	hoạch		
K5r	khẩu		
lzZ	long		
fzZ	phong		
vux	vũ		
fus	phú		
Wix	nghĩ		
mqZ	môi		
ThS	thiếu		
T9j	thật		
hhR	hiểu		
nqR	nổi		
CTj	chạy		
RGs	trái		
cks	cán		
TD1	thuốc		
kH4	kỹ		
hR4	hữu		
cg5	cục		
zfs	áp		
ctJ	cộng		
Th5	thuận		
tmZ	tinh		
H9j	nhật		
C7z	chân		
lzF	lòng		
cKf	càng		
Dp1	dưới		
noS	nó		
HKF	nhìn		
dXz	đêm		
qKz	quang		
HWz	nhanh		
WdZ	nghiên		
gN3	gửi		
h0X	hỗ		
C5z	châu		
Kas	khá		
fg1	phúc		
fMs	phép		
RGz	trai		
tGr	tải		
dKr	đảng		
CxZ	chơi		
Ccs	chết		
glJ	gọi		
dkf	đàn		
mhz	môn		
th2	tuần		
lEx	lễ		
Dv0	dung		
gNS	góp		
hb0	huy		
t7z	tân		
Kar	khả		
hqF	hồi		
hzz	hôm		
bdZ	biên		
lkz	lan		
dfJ	độc		
lmZ	linh		
cv0	cung		
tsS	toán		
jBs	giấy		
csf	cường		
dKs	đáng		
tGz	tai		
tl1	tuyến		
n0f	nằm		
gzf	gồm		
xg1	xúc		
Db0	duy		
sxs	sắc		
jKz	giang		
Rpz	trao		
loZ	lo		
bis	bí		
bm3	buổi		
T7f	thần		
s7z	sân		
d0F	đồ		
Tb3	thuỷ		
cU3	cử		
tBz	tây		
KbR	khoẻ		
Wez	nghe		
rtJ	rộng		
vj0	vui		
tCF	toà		
htF	hồng		
DWf	dành		
fqS	phối		
kQz	kim		
KsR	khoản		
t7s	tấn		
vGz	vai		
CtS	chống		
lEj	lệ		
Kis	khí		
v0Z	vô		
lsz	lương		
DEx	dễ		
dBf	đầy		
sU0	sư		
n2j	nặng		
mGz	mai		
RoF	trò		
hsz	hương		
Nb0	nguy		
hGj	hại		
Tpr	thảo		
dpr	đảo		
TdJ	thiện		
nm0	nuôi		
Giz	ghi		
qks	quán		
CkJ	chịu		
tsr	tưởng		
fsf	phường		
ndZ	niên		
tcs	tết		
mzZ	mong		
l0J	lộ		
cNj	cực		
vGf	vài		
bW1	bước		
d0Z	đô		
Wlz	nghiêm		
daf	đà		
CHs	chấp		
TG1	thuế		
TrJ	thoại		
dns	đứng		
dqZ	đôi		
Diz	di		
zr1	uống		
fkr	phản		
WEf	nghề		
vzJ	vọng		
THs	thấp		
zDz	âm		
tdJ	tiện		
lmX	lĩnh		
TDr	thẩm		
D5f	dầu		
Kjs	khám		
mtf	màu		
hqs	hát		
dtz	đau		
xaz	xa		
hlr	hiểm		
l5z	lâu		
m0Z	mô		
kls	kiếm		
mxj	mặc		
Wir	nghỉ		
vjS	viết		
fuf	phù		
H0f	nhằm		
xl0	xuyên		
kH3	kỷ		
Ndf	ngờ		
z10	yên		
mz0	mưa		
haj	hạ		
Wiz	nghi		
kJs	kéo		
KxR	khởi		
zsz	ương		
n8z	nâng		
K2r	khẳng		
cU0	cư		
m5x	mẫu		
Rsz	trương		
qH1	quý		
mGj	mại		
fas	phá		
Cus	chú		
sGz	sai		
z0Z	ô		
C0z	chăm		
hv2	hùng		
sd1	suất		
s5z	sâu		
th1	tuấn		
bNs	bức		
dnJ	đọc		
lDz	lâm		
ndj	nợ		
KlR	khỏi		
fqj	phạt		
tKS	tín		
vt5	vượt		
d5s	đấu		
TdZ	thiên		
Tsr	thưởng		
stZ	sông		
spS	sớm		
DTj	dạy		
Caz	cha		
b0R	bổ		
cGr	cải		
tl0	tuyên		
C0X	chỗ		
zps	áo		
hWj	hạnh		
t8f	tầng		
Daz	da		
tjj	tạm		
dBr	đẩy		
Dsx	dưỡng		
Cz4	chữa		
vzF	vòng		
fdZ	phiên		
das	đá		
mc2	mùa		
vTz	vay		
hhz	hôn		
d5z	đâu		
CU1	chứ		
xWz	xanh		
qEz	quê		
hms	hút		
mts	máu		
hGJ	hiệp		
Hdf	nhờ		
T0z	thăm		
Rus	trú		
TG0	thuê		
RWs	tránh		
Kks	khán		
C2r	chẳng		
thR	tiểu		
zWs	ánh		
qTz	quay		
sBS	soát		
HjJ	nhiệt		
NqZ	ngôi		
T2s	thắng		
Dv4	dũng		
mSS	món		
Tz2	thừa		
zv0	ung		
CTs	cháy		
Kxs	khắc		
NqF	ngồi		
fEz	phê		
hNJ	họp		
Rif	trì		
t0Z	tô		
qoz	quen		
vmZ	vinh		
mdF	miền		
Cdj	chợ		
Huz	nhu		
Cxs	chắc		
nrf	nền		
jtS	giống		
Naz	nga		
nzS	nóng		
Thz	thôn		
fms	phút		
jGz	giai		
zhr	ổn		
b5f	bầu		
zR0	ưu		
TBf	thầy		
Hds	nhớ		
mxs	mắc		
D5s	dấu		
snS	sóc		
qWz	quanh		
RxF	trời		
mqS	mối		
caf	cà		
tir	tỉ		
TDj	thậm		
Cdf	chờ		
CmR	chỉnh		
KWs	khánh		
maz	ma		
Tg1	thúc		
lGz	lai		
Nur	ngủ		
shZ	siêu		
TDJ	thịt		
Cls	chiếm		
tNs	tức		
dz1	đứa		
mTz	may		
n2x	nẵng		
Tdz	thơ		
bTf	bày		
szZ	song		
Hlx	nhiễm		
hTx	hãy		
dSS	đón		
z7s	ấn		
Cl1	chuyến		
Kpr	khảo		
fzS	phóng		
ckz	can		
bWs	bánh		
sb0	suy		
c7z	cân		
dfs	đáp		
ver	vẻ		
KCS	khoá		
lz5	lựa		
hnz	hưng		
RGr	trải		
Rb0	truy		
lGs	lái		
sdj	sợ		
RtF	trồng		
Tus	thú		
kvJ	kịp		
DzF	dòng		
zCs	ích		
lSj	lạc		
toR	tỏ		
hkf	hàn		
KqS	khối		
t2j	tặng		
ss1	suốt		
Kl1	khuyến		
d0R	đổ		
zas	á		
doR	đỏ		
fkz	phan		
rms	rút		
tGs	tái		
mBs	mấy		
cux	cũ		
rtz	rau		
WJf	nghèo		
mxF	mời		
g1s	gắn		
Tuj	thụ		
cDf	cầm		
tdf	tờ		
tfS	tốc		
bD5	buộc		
cjz	cam		
zW1	ước		
DU0	dư		
bdJ	biện		
q7f	quần		
tQz	tim		
fiz	phi		
T9s	thất		
TGz	thai		
vzZ	vong		
bSj	bạc		
lGx	lãi		
txs	tắc		
Tez	the		
Kg1	khúc		
sGf	sài		
jSs	giác		
NU4	ngữ		
c4s	cắt		
hGf	hài		
bef	bè		
fhS	phiếu		
nlj	niệm		
sz3	sửa		
Dnf	dừng		
laz	la		
TjJ	thiệt		
xZs	xếp		
t7j	tận		
tmX	tĩnh		
sv0	sung		
TU3	thử		
dGf	đài		
T2r	thẳng		
toZ	to		
DvJ	dịp		
TqZ	thôi		
R0z	trăm		
Cdr	chở		
vmX	vĩnh		
Hej	nhẹ		
sz4	sữa		
Nl5	nguyện		
nUz	nêu		
R2s	trắng		
sgj	sạch		
tfJ	tộc		
c7j	cận		
bzS	bóng		
Cg5	chục		
lH0	ly		
D7f	dần		
f0R	phổ		
ves	vé		
TSs	thác		
sH4	sỹ		
xzZ	xong		
lqX	lỗi		
CzS	chóng		
nlf	niềm		
Riz	tri		
gfS	gốc		
ddx	đỡ		
Hiz	nhi		
TBS	thoát		
C4j	chặt		
tuf	tù		
zaz	a		
s1x	sẵn		
hKx	hãng		
lKf	làng		
lBJ	loạt		
joS	gió		
cp2	cười		
v7z	vân		
DKj	dạng		
gSF	gòn		
cp1	cưới		
vnx	vững		
las	lá		
DBz	dây		
hHs	hấp		
Hxs	nhắc		
nTJ	nộp		
clZ	coi		
ljJ	liệt		
nqS	nối		
d0X	đỗ		
kYs	kém		
voX	võ		
ll5	luyện		
lex	lẽ		
s3s	sắp		
brs	bến		
rnf	rừng		
H7s	nhấn		
lWj	lạnh		
h5f	hầu		
thz	tôn		
hY0	huynh		
c5j	cậu		
c5s	cấu		
Cz1	chứa		
cHj	cập		
djs	đám		
x5s	xấu		
kdZ	kiên		
gaf	gà		
ThJ	thiệu		
l2s	lắng		
laj	lạ		
l0s	lắm		
saz	sa		
lz3	lửa		
Dpz	dao		
s4s	sắt		
szS	sóng		
tfj	tạp		
dRJ	đột		
mEz	mê		
Cn5	chụp		
kEz	kê		
jKr	giảng		
g2s	gắng		
hCJ	hoạ		
cWs	cánh		
N1z	ngăn		
jtf	giàu		
Ruj	trụ		
hQ1	huyết		
qH4	quỹ		
dsz	đương		
cC1	cuốn		
tDf	tầm		
NGj	ngại		
tas	tá		
jkr	giản		
dlF	đòi		
x2z	xăng		
cq1	cướp		
lfJ	lộc		
Tsj	thượng		
kCs	kích		
m9j	mật		
kCj	kịch		
zv3	ủng		
rxZ	rơi		
tb1	tuý		
c3j	cặp		
nj1	núi		
DmZ	dinh		
xv0	xung		
ldF	liền		
thf	tồn		
R7s	trấn		
bpf	bào		
dCs	đích		
tQ5	tuyệt		
bC2	buồn		
bqF	bồi		
hKj	hạng		
jjS	giết		
N1s	ngắn		
d3J	đợt		
vf2	vườn		
C1s	chắn		
TGr	thải		
cDs	cấm		
mdX	miễn		
fW1	phước		
qaf	quà		
R7j	trận		
n2s	nắng		
mGs	mái		
mgj	mạch		
bgj	bạch		
bGx	bãi		
Raf	trà		
mdz	mơ		
n0s	nắm		
CU4	chữ		
f5x	phẫu		
r45	rượu		
bC0	buôn		
f7j	phận		
hxZ	hơi		
hH0	hy		
hpf	hào		
dYz	đem		
nz3	nửa		
Rnz	trưng		
mnf	mừng		
K0R	khổ		
tp0	tươi		
RmZ	trinh		
K5s	khấu		
Nax	ngã		
b2z	băng		
bBz	bây		
doz	đen		
n0R	nổ		
hG1	huế		
xEs	xế		
Rv1	trúng		
h8Z	hoang		
kUz	kêu		
bz4	bữa		
tv2	tùng		
vcs	vết		
DlX	dõi		
bdf	bờ		
ChS	chiếu		
lt5	lượt		
lpf	lào		
T2z	thăng		
Cms	chút		
cpZ	cơm		
KKs	kháng		
tDs	tấm		
CDj	chậm		
TCR	thoả		
Rzj	trộm		
sKf	sàng		
lux	lũ		
z1Z	ơn		
Nuj	ngụ		
WKF	nghìn		
skj	sạn		
h2f	hằng		
nqX	nỗi		
N0Z	ngô		
z5z	âu		
gsz	gương		
CKf	chàng		
Rg1	trúc		
vsz	vương		
NW5	ngược		
c1Z	cơn		
ker	kẻ		
b9j	bật		
dmZ	đinh		
NHj	ngập		
KnS	khóc		
n0X	nỗ		
hqj	hạt		
dBJ	đoạt		
Nkf	ngàn		
Tpz	thao		
kmS	kính		
rKf	ràng		
hef	hè		
Cpf	chào		
boF	bò		
Hh5	nhuận		
hY2	huỳnh		
max	mã		
cKr	cảng		
hrF	hoài		
bj2	bùi		
ToJ	thọ		
Rjj	trạm		
dnf	đừng		
dDz	đâm		
cqs	cát		
hhS	hiếu		
lz2	lừa		
lW5	lược		
m0J	mộ		
khR	kiểu		
tEj	tệ		
K3s	khắp		
jjz	giam		
kvz	kia		
djf	đàm		
Rv2	trùng		
b6j	bậc		
tj1	túi		
mGx	mãi		
mkf	màn		
d2r	đẳng		
xQS	xóm		
j9j	giật		
dm3	đuổi		
Kv3	khủng		
kyz	kênh		
tnS	tóc		
d5j	đậu		
dxJ	đợi		
l7x	lẫn		
Nux	ngũ		
Tgs	thách		
khF	kiều		
jlR	giỏi		
Dij	dị		
vis	ví		
Dz5	dựa		
dsS	đoán		
klj	kiệm		
vlz	viêm		
TQ1	thuyết		
bpx	bão		
Rhs	trốn		
tKz	tang		
gHs	gấp		
bmZ	binh		
NKz	ngang		
rqS	rối		
npx	não		
K7r	khẩn		
HhZ	nhiêu		
NU0	ngư		
zDs	ấm		
vdx	vỡ		
lWf	lành		
T7j	thận		
tsf	tường		
glS	gói		
xuz	xu		
KdR	khiển		
NHJ	ngọt		
hoZ	ho		
DKf	dàng		
gpj	gạo		
jzJ	giọng		
hoj	hẹn		
sRS	sốt		
jaf	già		
NSZ	ngon		
mj2	mùi		
hdS	hiến		
CTr	chảy		
Ter	thẻ		
hdF	hiền		
hEf	hề		
lyj	lệnh		
Dl0	duyên		
RGj	trại		
rSs	rác		
Rz0	trưa		
Tl2	thuyền		
CWs	chánh		
bv5	bụng		
m0R	mổ		
jWf	giành		
Nhz	ngôn		
haz	ha		
lqS	lối		
C7s	chấn		
g0X	gỗ		
xsz	xương		
sU1	sứ		
qrz	quên		
m1s	mắn		
n5s	nấu		
lsJ	loạn		
gaz	ga		
CDs	chấm		
Haz	nha		
RU2	trừ		
rs5	ruột		
R9j	trật		
DKs	dáng		
mex	mẽ		
sv1	súng		
mj4	mũi		
zb0	uy		
bKr	bảng		
kYf	kèm		
d2j	đặng		
Djs	dám		
DW5	dược		
ler	lẻ		
mgJ	miệng		
rxF	rời		
hns	hứng		
lg5	lục		
zKZ	in		
Cuz	chu		
Hv4	nhũng		
dHj	đập		
zMs	ép		
C1j	chặn		
hv0	hung		
Tdr	thở		
dof	đèn		
bJs	béo		
tg1	túc		
csz	cương		
hjf	hàm		
hl2	huyền		
hb3	huỷ		
KCs	khích		
brf	bền		
K0Z	khô		
Duj	dụ		
DQ5	duyệt		
fNs	phức		
skf	sàn		
s0R	sổ		
Koz	khen		
Cg1	chúc		
T5f	thầu		
nSZ	non		
Tb1	thuý		
D5z	dâu		
bas	bá		
tb2	tuỳ		
nGz	nai		
KC0	khuôn		
lez	le		
bvz	bia		
DU4	dữ		
hls	hiếm		
dGx	đãi		
zzz	ôm		
t9j	tật		
lkf	làn		
tlz	tiêm		
RtZ	trông		
bhs	bốn		
ddR	điển		
l0X	lỗ		
gdx	gỡ		
kKS	kín		
Rns	trứng		
fks	phán		
mXf	mềm		
tus	tú		
DDz	dâm		
DTf	dày		
THj	thập		
C1z	chăn		
bqS	bối		
Nnf	ngừng		
rer	rẻ		
ThR	thiểu		
H1s	nhắn		
HTr	nhảy		
DT1	dứt		
thr	tổn		
f7s	phấn		
rpf	rào		
qS2	quỳnh		
gnS	góc		
tps	táo		
ztS	ống		
mcj	mệt		
mSj	mạc		
DBj	dậy		
HWs	nhánh		
Cjj	chạm		
mqs	mát		
hU0	hư		
nPs	nét		
gkz	gan		
c2z	căng		
l0Z	lô		
KoZ	kho		
h1r	hẳn		
Tv2	thùng		
tCR	toả		
tlf	tiềm		
bRJ	bột		
TKz	thang		
dhf	đồn		
ck5	cụm		
hzR	hỏng		
